date,institute,cdl,unione,others,ulivo,fi,an,udc,prc,ln,pdci,idv,fdv,ulivo_pd,ld,pd,pdl,sa,rc,sel,m5s,fli,sc,fdi,cd,vtr,sample_size,eu,i,cp,nci,leu,pap,cpi,si,ap,mdp,cp_ap,sel_si,ncd,pdl_fi
2008-03-11,Dinamiche,NA,NA,3.9,NA,NA,NA,6.1,NA,5.6,NA,3.7,NA,NA,2,33.2,37.9,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-10,Crespi,NA,NA,6,NA,NA,NA,7.4,NA,6,NA,3,NA,NA,4.2,31.8,34.8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-10,Demos&Pi,NA,NA,2.7,NA,NA,NA,6,NA,5.5,NA,4.5,NA,NA,1.9,34,39.3,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-09,Digis,NA,NA,2,NA,NA,NA,7,NA,4.6,NA,3.3,NA,NA,1.5,33.4,41.1,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-07,IPR,NA,NA,3.5,NA,NA,NA,7,NA,4.5,NA,4,NA,NA,2.5,32,38,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-06,Lorien,NA,NA,3.2,NA,NA,NA,7.4,NA,6,NA,2.9,NA,NA,2.1,33.7,37,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-04,ISPO,NA,NA,3.5,NA,NA,NA,5.5,NA,5,NA,3,NA,NA,2.5,35,39.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-03,Crespi,NA,NA,4.3,NA,NA,NA,6.9,NA,5,NA,4.2,NA,NA,4,30.8,37.9,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-03,Demoskopea,NA,NA,2,NA,NA,NA,7.5,NA,4,NA,2.5,NA,NA,2,33.5,40.5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-03-01,Euromedia,NA,NA,4.5,NA,NA,NA,5.7,NA,5,NA,3,NA,NA,2.2,32.4,40,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-02-29,IPR,NA,NA,4.2,NA,NA,NA,7,NA,4.5,NA,4,NA,NA,2.5,32,38,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-02-28,Demopolis,NA,NA,6,NA,NA,NA,5,NA,5,NA,3.5,NA,NA,NA,33.5,39,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-02-25,Crespi,NA,NA,5.1,NA,NA,NA,6.5,NA,5.3,NA,3,NA,NA,3.6,32.5,37,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
