institute,date,nd,pasok,kke,syriza,laos,other,none,unsure,sample_size,ecologist_greens,golden_dawn,dimar,democratic_alliance,parmap,anel,dixa,drassi,potami,kinima,kidiso,union_of_centrists,popular_unity,disi,ant,pe,el,kinal,mera25
Public Issue/VPRC,2007-01-14,43,39,7.5,4,3.5,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO,2007-01-15,35.9,33.7,7.3,4.1,4.4,0.7,4.4,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2007-02-10,37.5,35.9,7.4,3.6,3.2,NA,NA,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue/VPRC,2007-02-11,43,39.5,7.5,4,3.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RASS,2007-02-25,36.7,33.9,5.8,2.8,2.7,NA,NA,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue/VPRC,2007-03-11,43,39.5,7,4.5,3.5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2007-03-22,37.1,35.9,7,3.1,3.6,NA,NA,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALCO,2007-03-30,33.9,33.4,5.5,2.8,2.2,NA,NA,22.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2007-03-30,36.9,35.9,7,3.4,3.9,NA,NA,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO,2007-04-02,36,34.2,7,4,4.5,0.9,3.9,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue/VPRC,2007-04-13,42.5,39,7,4.5,4,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2007-04-27,35.9,33.5,6.7,4.1,3.7,NA,NA,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue/VPRC,2007-05-13,42.5,39.5,6.5,5,3.5,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2007-05-24,35.7,33.7,6.3,4.4,4.7,NA,NA,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2007-06-02,33.4,32,6.8,3.6,4.4,NA,NA,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue/VPRC,2007-06-08,43,39,7,4.5,4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO,2007-06-04,35.5,34.5,7.1,4.4,4.9,2.3,3.3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALCO,2007-06-15,34.2,34,6.3,2.9,3.5,1.6,2.5,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2007-06-15,36.3,34,7,4.4,3.7,NA,NA,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2007-06-21,36.8,35.8,6.4,3.8,3.8,NA,NA,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2007-06-30,36.1,35.1,7.6,4.3,4.2,0.6,NA,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue/VPRC,2007-07-16,42.5,38.5,7.5,4.5,3.5,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO,2007-08-22,36.2,34.6,7.1,4.2,4.6,NA,5.8,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2007-08-22,31,29.5,7,4.3,3.5,2.5,6.8,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2007-08-23,36.8,34.8,6.8,4.5,4,1.3,2.8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research,2007-08-26,34.9,33.6,7.2,4.9,4.1,"1,6",NA,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALCO,2007-08-27,35,34.2,6.5,3.4,3.6,0.8,4.1,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2007-08-28,35.2,33.2,7.3,4.4,3.9,2.2,4.3,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2007-08-29,29.7,28.1,8.1,4.7,3.6,2.6,10.5,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO,2007-08-29,36,34.8,7,4.5,4.9,2.1,NA,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALCO,2007-08-29,31.6,30.9,6.2,3.4,3.3,1.8,8.7,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue/VPRC ,2007-08-31,42,38,8.5,5,4,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB,2007-08-31,35.4,33.3,7.5,4.7,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO,2007-08-31,37.4,36,7.6,4.2,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALCO,2007-08-31,31.5,30.8,6.5,3.7,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO/Mega TV,2012-04-20,25.6,19.5,10.7,9.8,4.7,NA,NA,NA,NA,3.1,5.5,7.9,3.5,NA,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc/Alpha TV,2012-04-20,22.7,17.9,9,11.8,3.9,NA,NA,NA,1122,3.2,4.8,8.4,3,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VPRC/Kontra Channel,2012-04-20,23,14,11.5,13.5,3,NA,NA,NA,NA,3,6.5,8,1.5,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis/Crisis Monitor,2012-04-19,20.1,15.1,9.9,11,3.8,NA,NA,NA,1185,4.3,6.2,8.8,2.7,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kapa Research/Ta Nea,2012-04-19,25.5,19.1,10.6,9.1,4,NA,NA,NA,NA,3.6,5.2,5.4,3.8,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB/Real.gr,2012-04-19,23,14.5,9.8,11.9,3.1,NA,NA,NA,1007,4,5.7,8.2,3,NA,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rass/Eleftheros Typos,2012-04-19,24.1,17.1,8.7,10.3,3.4,NA,NA,NA,1203,3.8,4.3,8.4,3.2,NA,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc/Ethnos,2012-04-19,21.9,17.8,9.2,11,4.2,NA,NA,NA,1001,3.2,5.2,8.8,3,NA,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alco/NewsIT,2012-04-19,23,16.5,8.7,9.8,3.7,NA,NA,NA,1000,3.3,4.8,8.2,2.9,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue/Skai–Kathimerini,2012-04-19,21.5,14,11,13,3,NA,NA,NA,1310,3.5,5.5,9.5,2,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC/To Pontiki,2012-04-17,22,15,10.5,11,3,NA,NA,NA,1209,3.5,5.5,8.5,3,1.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marc/Alpha TV,2012-04-17,22.3,17.8,9.7,9.8,3.9,NA,NA,NA,NA,3.1,5.7,8.6,3,NA,9.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VPRC/Epikaira,2012-04-12,22,14.5,11.5,13,3.5,NA,NA,NA,NA,2.5,5,10,1.5,1.5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pulse RC/Typos tis Kyriakis,2012-04-11,21.5,15.5,11.5,11.5,3,NA,NA,NA,1206,3,5,9,2.5,2,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRB/Real News,2012-04-10,25.4,15.8,9.8,10.7,3.1,NA,NA,NA,1008,3.6,4.8,8.7,3,1.2,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GPO/Mega TV,2012-04-09,24.7,19.3,10.9,8.4,5.4,NA,NA,NA,1200,2,4.2,8,3.4,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Public Issue/Skai–Kathimerini,2012-04-09,19,14.5,11,13,3,NA,NA,NA,1226,3,5,12,2,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AUEB–STAT,2012-04-08,18.7,17.9,9.9,12.7,2.1,NA,NA,NA,1731,5.3,6,6.9,2.1,1.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis,2012-04-06,24.3,15.4,10.9,9.5,4.2,NA,NA,NA,2010,4.4,6.3,8,2.1,NA,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metron Analysis/Crisis Monitor,2012-04-05,20.8,15,10.5,11.5,3,NA,NA,NA,1201,4.6,5.5,9,2.1,NA,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
